old_url,clicks,impressions,category,corrected_category,language,suggested_target_url,suggestion_basis,confidence,manual_review_required,final_action,notes
https://www.blancareal.com/es/propiedad/pisos-obra-nueva-fuengirola/,1158,32079,project,project,es,https://blancareal.com/es/projects/,Plural or new-build property URL treated as a promotion/project intent and mapped to the projects index.,medium,no,approve,"GSC signal: 1158 clicks, 32079 impressions."
https://www.blancareal.com/es/propiedad/almitak-pisos-y-aticos-de-obra-nueva-mijas-costa/,451,17562,project,project,es,https://blancareal.com/es/projects/,Plural or new-build property URL treated as a promotion/project intent and mapped to the projects index.,medium,no,approve,"GSC signal: 451 clicks, 17562 impressions."
https://www.blancareal.com/es/propiedad/pisos-en-venta-obra-nueva-fuengirola/,360,14328,project,project,es,https://blancareal.com/es/projects/,Plural or new-build property URL treated as a promotion/project intent and mapped to the projects index.,medium,no,approve,"GSC signal: 360 clicks, 14328 impressions."
https://www.blancareal.com/es/propiedad/apartamentos-obra-nueva-benalmadena/,202,7382,project,project,es,https://blancareal.com/es/projects/,Plural or new-build property URL treated as a promotion/project intent and mapped to the projects index.,medium,no,approve,"GSC signal: 202 clicks, 7382 impressions."
https://www.blancareal.com/es/propiedad/casas-venta-fuengirola-blanca-hills/,186,13279,project,project,es,https://blancareal.com/es/projects/,Plural or new-build property URL treated as a promotion/project intent and mapped to the projects index.,medium,no,approve,"GSC signal: 186 clicks, 13279 impressions."
https://www.blancareal.com/nl/propiedad/appartementen-te-koop-en-uitzicht-op-zee-costa-del-sol/,132,18655,property,project,nl,https://blancareal.com/nl/projects/,Plural or new-build property URL treated as a promotion/project intent and mapped to the projects index.,medium,no,approve,"GSC signal: 132 clicks, 18655 impressions."
https://www.blancareal.com/es/nuestras-promociones/,115,3102,project,project,es,https://blancareal.com/es/projects/,Project or new-build landing mapped to the projects index.,high,no,approve,"GSC signal: 115 clicks, 3102 impressions."
https://www.blancareal.com/es/quien-paga-las-comisiones-de-una-agencia-inmobiliaria/,113,29434,post,post,es,https://blancareal.com/es/posts/,"Editorial/FAQ URL has no exact live match, so it falls back to the posts index.",medium,no,approve,"GSC signal: 113 clicks, 29434 impressions. Post candidate kept for manual review."
https://www.blancareal.com/es/quienes-somos/,100,2603,about,about,es,https://blancareal.com/es/about/,About-page variant mapped to the equivalent about page.,high,no,approve,"GSC signal: 100 clicks, 2603 impressions."
https://www.blancareal.com/it/proprieta/case-di-nuova-costruzione-costa-del-sol-spagna/,97,3812,project,project,it,https://blancareal.com/it/projects/,Plural or new-build property URL treated as a promotion/project intent and mapped to the projects index.,medium,no,approve,"GSC signal: 97 clicks, 3812 impressions."
https://www.blancareal.com/es/propiedad/local-100m2-la-cala-de-mijas-centro/,96,1882,property,property,es,https://blancareal.com/es/properties/,"Single-property-looking URL has no concrete match here, so it falls back to the properties index.",medium,no,approve,"GSC signal: 96 clicks, 1882 impressions."
https://condesahills.blancareal.com/,96,1152,project,project,en,https://blancareal.com/en/projects/,Promotion microsite mapped to the projects index for the detected language.,high,no,approve,"GSC signal: 96 clicks, 1152 impressions. Project microsite URL."
https://www.blancareal.com/es/propiedad/apartamentos-de-nueva-construccion-en-el-higueron-fuengirola/,95,4583,property,project,es,https://blancareal.com/es/projects/,Plural or new-build property URL treated as a promotion/project intent and mapped to the projects index.,medium,no,approve,"GSC signal: 95 clicks, 4583 impressions."
https://www.blancareal.com/es/propiedad/pisos-en-venta-123-habitaciones-vistas-al-mar-mijas/,93,6905,property,project,es,https://blancareal.com/es/projects/,Plural or new-build property URL treated as a promotion/project intent and mapped to the projects index.,medium,no,approve,"GSC signal: 93 clicks, 6905 impressions."
https://www.blancareal.com/es/obra-nueva/,92,3075,project,project,es,https://blancareal.com/es/projects/,Project or new-build landing mapped to the projects index.,high,no,approve,"GSC signal: 92 clicks, 3075 impressions."
https://www.blancareal.com/nl/,71,418,language_home,language_home,nl,https://blancareal.com/nl/,Language homepage variant mapped to the equivalent homepage.,high,no,approve,"GSC signal: 71 clicks, 418 impressions."
https://www.blancareal.com/es/propiedad/nueva-casas-en-venta-en-fuengirola/,57,1782,property,project,es,https://blancareal.com/es/projects/,Plural or new-build property URL treated as a promotion/project intent and mapped to the projects index.,medium,no,approve,"GSC signal: 57 clicks, 1782 impressions."
https://www.blancareal.com/es/propiedad/pisos-de-obra-nueva-en-cancelada-estepona/,55,1277,project,project,es,https://blancareal.com/es/projects/,Plural or new-build property URL treated as a promotion/project intent and mapped to the projects index.,medium,no,approve,"GSC signal: 55 clicks, 1277 impressions."
https://www.blancareal.com/es/propiedad/pisos-en-mijas/,52,4977,property,property,es,https://blancareal.com/es/properties/,"Single-property-looking URL has no concrete match here, so it falls back to the properties index.",medium,no,approve,"GSC signal: 52 clicks, 4977 impressions."
