sequence,phase,task_id,workstream,priority,status,scope_count,task,why_it_matters,input_files,output_files,depends_on,owner,success_criteria,notes
1,00-discovery,T001,SEO Strategy,critical,pending,1869 new URLs + 151 legacy URLs,"Freeze the migration baseline and keep the three master files as the source of truth.","Without a frozen baseline, redirect and content decisions drift and create SEO loss.","seo_url_audit_master.csv | seo_url_legacy_redirect_map.csv | seo_url_legacy_gap_action_plan.csv","Same files kept versioned and reviewed",none,"SEO + PM","All stakeholders work from the same current files and no parallel spreadsheet diverges.","This is the control point before making redirects or content decisions."
2,00-discovery,T002,Legacy Audit,critical,pending,151 legacy URLs,"Validate that the legacy URL universe is complete before launch work starts.","If legacy URLs are missing now, they will become untracked 404s after migration.","urls-antiguaweb.txt | seo_url_legacy_redirect_map.csv","Updated urls-antiguaweb.txt if anything else appears",T001,"SEO","All known legacy URLs from sitemaps, exports and manual lists are present once and normalized.","Add any extra sitemap or analytics export here if available."
3,00-discovery,T003,SEO Audit,high,pending,151 legacy URLs,"Enrich the legacy list with traffic, rankings and backlinks from external SEO tools.","This is how you decide what must be recreated exactly and what can be merged safely.","seo_url_legacy_redirect_map.csv | seo_url_legacy_gap_action_plan.csv","Annotated copy of seo_url_legacy_gap_action_plan.csv",T002,"SEO","Each legacy URL has an external-value check or a deliberate 'no data' note.","Use Search Console, GA4, Ahrefs, Semrush or legacy CMS exports."
4,01-safe-redirects,T004,Redirects,critical,pending,100 URLs,"Approve the safe redirect set: exact_match + mapped_equivalent.","These are the lowest-risk 301s and can be implemented early.","seo_url_legacy_redirect_map.csv","Approved redirect subset",T003,"SEO + Dev","Every exact or mapped equivalent redirect points to a semantically correct final URL.","Current safe set is 3 exact_match + 97 mapped_equivalent."
5,01-safe-redirects,T005,Redirects,high,pending,50 URLs,"Review every merge_to_parent redirect one by one before accepting it.","A generic parent redirect is the fastest way to lose rankings on transactional URLs.","seo_url_legacy_redirect_map.csv | seo_url_legacy_gap_action_plan.csv","Accepted or rejected merge list",T003,"SEO + Product","Each merge_to_parent row is confirmed as acceptable or moved into recreate/indexable work.","Do not bulk-approve these."
6,01-safe-redirects,T006,Legacy Audit,medium,pending,1 unknown URL,"Identify the unresolved legacy WordPress page_id URL and decide its final destination.","Unidentified legacy pages should never be left as blind redirects.","seo_url_legacy_redirect_map.csv","Resolved mapping for ?page_id=311877",T002,"SEO + Content","The remaining needs_manual_decision row is either mapped exactly or marked gone with justification.","Current unresolved URL is https://www.blancareal.com/?page_id=311877."
7,02-content-gaps,T007,Indexability,critical,pending,44 URLs,"Review the 44 legacy URLs whose best current target exists but is still noindex.","If the target stays noindex, the redirect cannot preserve SEO value.","seo_url_legacy_gap_action_plan.csv | seo_url_audit_master.csv","Decision list: make indexable vs create exact equivalent",T003,"SEO + Dev","Each of the 44 rows has a final decision.","This is the biggest fast-win bucket."
8,02-content-gaps,T008,Indexability,critical,pending,44 URLs,"Implement the approved indexability changes on current targets.","A good target only preserves SEO if it is indexable, canonical and crawlable.","seo_url_audit_master.csv | app routes/layout metadata files","Updated route metadata, canonicals and sitemap behavior",T007,"Dev + SEO","Approved targets move from noindex to indexable with correct canonical behavior.","Do not open low-value thin pages just to match counts."
9,02-content-gaps,T009,Content Migration,critical,pending,16 posts,"Recreate or import the legacy posts that still have SEO or link value.","Informational URLs often rank independently and should not die into a blog index redirect.","seo_url_legacy_gap_action_plan.csv | legacy CMS/source content","Published replacement posts",T003,"Content + SEO","Each valuable legacy post has a live replacement URL with equivalent topic intent.","Current P1 post bucket is 16 URLs."
10,02-content-gaps,T010,Transactional SEO,critical,pending,15 landings/fichas,"Create exact or near-exact equivalent property/project/landing pages for the highest-value transactional gaps.","Generic catalogue redirects usually lose rankings for explicit property intent queries.","seo_url_legacy_gap_action_plan.csv | seo_url_audit_master.csv","New landing/property URLs added to the site",T003,"SEO + Product + Dev","Every approved high-intent property gap has a live, indexable destination.","Current P1 create-equivalent bucket is 15 URLs."
